Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
Hena,Zeri,ADC,13,0,2,0,0,251,27,,9.1,9684,353,22.7%,31,12,9,4,4,1.13,0.44,0.15,0.33,15%,5033,3274,1603,156,183,18.2%,0,0%,,0,0,0,0,-2495,-19,-787,-1,0,2679,2679,1287,0,13644,0,2,185,14908,14,5,23,0,0
Effort,Lulu,SUPPORT,10,0,1,0,0,29,0,,1.1,5732,209,13.5%,76,40,7,13,10,2.77,1.46,0.47,0.26,36.9%,2333,756,1577,0,85,8.4%,0,0%,,0,0,0,0,-174,20,-449,0,0,156,156,1424,413,5924,3542,10,104,5586,14,19,36,0,0
kingen,Gnar,TOP,15,1,2,2,1.5,218,10,,7.9,9751,355,18.9%,30,11,8,5,5,1.09,0.4,0.18,0.29,12.4%,9290,7076,2158,56,338,19.5%,0.11,42.9%,,0,0,0,0,-452,12,939,1,0,1229,1229,2028,0,8468,0,11,345,11555,71,6,21,50,0
Clid,Sejuani,JUNGLE,13,0,0,4,Perfect KDA,143,127,,5.2,8501,310,16.4%,57,8,14,6,6,2.08,0.29,0.22,0.51,23.7%,5078,2599,2369,110,185,10.6%,0.15,57.1%,,0,0,0,0,-384,2,-272,-1,0,79,79,3762,1638,27992,0,12,333,21420,0,7,24,0,0
Zeka,Azir,MID,17,1,0,4,Perfect KDA,289,13,,10.5,11810,430,22.8%,43,12,8,8,6,1.57,0.44,0.29,0.29,17.8%,12831,187,12644,0,467,26.9%,0.18,71.4%,,0,0,0,0,280,-3,-562,-1,0,5925,5925,1194,0,7049,0,6,300,12232,0,10,32,0,0
Viper,Lucian,ADC,13,5,0,0,Perfect KDA,264,0,,9.6,14513,529,28.1%,39,15,7,5,5,1.42,0.55,0.18,0.26,16.2%,17997,10278,6432,1287,656,37.7%,0.18,71.4%,,2,0,0,0,2495,19,787,1,0,8069,8069,321,0,4062,0,0,1,7764,0,8,21,0,0
Life,Nami,SUPPORT,12,0,0,6,Perfect KDA,14,0,,0.5,7136,260,13.8%,72,41,11,10,8,2.62,1.49,0.36,0.4,29.9%,2509,531,1978,0,91,5.3%,0.22,85.7%,,0,0,0,0,174,-20,449,0,0,1950,1950,7765,5409,2852,1135,9,89,5986,0,12,25,0,0
Doran,Gwen,TOP,17,3,2,4,3.5,272,24,,9.2,13034,439,22.7%,22,10,3,5,5,0.74,0.34,0.17,0.1,6.5%,16955,2261,10216,4478,571,22.9%,0.24,63.6%,,1,0,0,0,-18,1,-283,0,0,8651,8651,6675,0,22381,0,5,52,25995,77,6,21,0,50
Peanut,Wukong,JUNGLE,15,2,2,4,3,192,168,,6.5,10919,368,19%,43,6,12,4,4,1.45,0.2,0.13,0.4,12.6%,10534,7994,1805,735,355,14.2%,0.2,54.5%,,0,0,0,0,665,-3,-36,0,0,3586,3586,2462,0,29159,0,13,172,23014,16,6,22,0,150
Chovy,Azir,MID,16,3,1,4,7,276,1,,9.3,12300,414,21.4%,66,15,9,6,4,2.22,0.51,0.2,0.3,19.4%,17634,524,17110,0,594,23.9%,0.24,63.6%,,1,0,0,0,-481,4,53,0,0,4047,4047,722,0,6270,0,7,207,9953,21,8,29,0,0
Peyz,Sivir,ADC,16,2,2,4,3,311,25,,10.5,12953,436,22.5%,33,11,8,5,5,1.11,0.37,0.17,0.27,9.7%,17745,15949,569,1227,598,24%,0.2,54.5%,,0,0,0,0,639,-1,855,1,0,5497,5497,1620,0,6181,0,0,66,9803,42,6,21,0,400
Delight,Ashe,SUPPORT,12,1,0,8,Perfect KDA,32,0,,1.1,8300,280,14.4%,176,84,27,12,12,5.93,2.83,0.4,0.91,51.8%,11063,7799,3264,0,373,15%,0.3,81.8%,,0,0,0,0,709,-10,53,0,0,2493,2493,1072,562,798,0,60,402,1816,0,16,28,0,0
DnDn,K,TOP,17,3,2,2,2.5,248,0,,8.4,11215,378,23.3%,27,13,5,9,7,0.91,0.44,0.3,0.17,13.1%,15750,13103,1746,901,531,40.5%,0.17,71.4%,2,0,0,0,0,18,-1,283,0,0,2558,2558,5868,0,33795,403,39,627,23702,60,10,26,400,0
Sylvie,Sejuani,JUNGLE,13,1,2,3,2,153,127,,5.2,8348,281,17.4%,38,9,10,10,8,1.28,0.3,0.34,0.34,18.4%,5164,2457,2218,489,174,13.3%,0.13,57.1%,,0,0,0,0,-665,3,36,0,0,203,203,7315,2669,31400,0,18,361,28880,39,11,25,0,0
FIESTA,Yone,MID,16,2,2,0,1,277,8,,9.3,11430,385,23.8%,33,11,10,8,6,1.11,0.37,0.27,0.34,16%,9400,5410,2269,1721,317,24.2%,0.07,28.6%,,0,0,0,0,481,-4,-53,0,0,2498,2498,3473,0,18941,0,8,126,20869,38,9,29,0,0
Vital,Aphelios,ADC,14,0,3,0,0,291,7,,9.8,10601,357,22%,27,13,11,3,3,0.91,0.44,0.1,0.37,13.1%,6572,5908,664,0,221,16.9%,0,0%,,0,0,0,0,-639,1,-855,-1,0,2137,2137,3822,397,11684,0,4,102,12215,52,6,20,0,0
Peter,Alistar,SUPPORT,11,1,2,3,2,31,0,,1,6516,220,13.5%,81,49,11,15,15,2.73,1.65,0.51,0.37,39.3%,2005,120,1400,485,68,5.2%,0.13,57.1%,,0,0,0,0,-709,10,-53,0,0,0,0,3692,1945,12995,0,9,25,11351,65,17,28,200,0
DnDn,Jayce,TOP,17,1,7,2,0.4,260,11,,7.4,12354,352,19.8%,49,19,9,11,9,1.4,0.54,0.31,0.26,14.5%,23429,20121,3133,175,668,30.2%,0.09,33.3%,,0,0,0,0,-361,3,-940,-1,0,1798,1798,1010,0,18523,0,9,135,19843,219,14,34,0,0
Sylvie,Maokai,JUNGLE,14,2,2,5,3.5,142,120,,4,10891,311,17.4%,69,14,15,14,12,1.97,0.4,0.4,0.43,20.5%,15495,543,12554,2398,442,20%,0.2,77.8%,,0,0,0,0,-468,-8,-326,0,0,906,906,8616,1881,23230,0,48,572,27721,60,15,33,0,150
FIESTA,Syndra,MID,18,2,2,4,3,336,8,,9.6,15107,431,24.2%,54,21,8,8,8,1.54,0.6,0.23,0.23,16%,19306,928,17424,954,551,24.9%,0.17,66.7%,,0,0,0,0,-1004,-10,134,0,0,4151,4151,1380,0,9994,0,33,417,14234,27,10,30,250,350
Vital,Aphelios,ADC,16,3,1,1,4,334,16,,9.5,15558,444,24.9%,55,15,9,4,4,1.57,0.43,0.11,0.26,16.3%,14726,12797,984,945,420,19%,0.11,44.4%,,1,0,0,0,-164,-3,233,0,0,11591,11591,3822,518,16964,0,9,137,8645,54,5,25,0,550
Peter,Leona,SUPPORT,13,1,3,6,2.3,33,0,,0.9,8554,244,13.7%,110,58,14,22,20,3.14,1.65,0.63,0.4,32.6%,4578,836,2781,961,131,5.9%,0.2,77.8%,1,0,0,0,0,-306,-6,-518,0,0,0,0,1600,326,21324,0,30,103,16857,61,26,40,0,0
Doran,Camille,TOP,18,2,1,5,7,303,18,,8.6,13826,394,19.8%,36,8,7,4,4,1.03,0.23,0.11,0.2,12%,11950,6321,970,4659,341,20.2%,0.2,46.7%,1,0,0,0,0,361,-3,940,1,0,4427,4427,6821,0,34812,0,17,350,30138,35,5,28,0,0
Peanut,Elise,JUNGLE,16,1,2,7,4,182,159,,5.2,10946,312,15.7%,45,7,12,7,6,1.28,0.2,0.2,0.34,15%,11241,706,9988,547,321,19%,0.23,53.3%,,0,0,0,0,468,8,326,0,0,729,729,6307,0,13704,0,17,156,28582,81,9,25,0,0
Chovy,Tristana,MID,18,8,1,2,10,344,20,,9.8,18660,532,26.8%,52,10,17,2,2,1.48,0.29,0.06,0.48,17.3%,18162,14851,1477,1834,518,30.7%,0.29,66.7%,,1,1,0,0,1004,10,-134,0,0,14329,14329,3057,0,14563,0,1,89,15624,44,3,25,1050,250
Peyz,Draven,ADC,17,4,2,4,4,385,32,,11,17928,511,25.7%,42,14,6,5,4,1.2,0.4,0.14,0.17,14%,15229,14843,288,98,434,25.7%,0.23,53.3%,,0,0,0,0,164,3,-233,0,0,5027,5027,1176,0,10829,0,8,115,18663,43,6,26,0,0
Delight,Rakan,SUPPORT,13,0,3,10,3.3,47,1,,1.3,8309,237,11.9%,126,70,19,20,19,3.59,2,0.57,0.54,41.9%,2652,525,2127,0,76,4.5%,0.29,66.7%,,0,0,0,0,306,6,518,0,0,703,703,5293,2831,18899,2434,15,58,16455,28,23,40,0,0
Weizor,Gangplank,TOP,18,9,5,6,3,311,12,,7.9,21123,537,27.4%,36,15,2,3,3,0.92,0.38,0.08,0.05,11.9%,39883,25211,8107,6565,1014,35.8%,0.38,68.2%,4,0,0,0,0,2725,19,1391,1,0,7655,7655,8652,0,20044,0,18,323,28297,238,5,32,250,600
